Date,US_Oil_Rigs
2020-01-03,670
2020-01-10,659
2020-01-17,673
2020-01-24,676
2020-01-31,675
2020-02-07,676
2020-02-14,678
2020-02-21,679
2020-02-28,678
2020-03-06,682
2020-03-13,683
2020-03-20,664
2020-03-27,624
2020-04-03,562
2020-04-09,504
2020-04-17,438
2020-04-24,378
2020-05-01,325
2020-05-08,292
2020-05-15,258
2020-05-22,237
2020-05-29,222
2020-06-05,206
2020-06-12,199
2020-06-19,189
2020-06-26,188
2020-07-02,185
2020-07-10,181
2020-07-17,180
2020-07-24,181
2020-07-31,180
2020-08-07,176
2020-08-14,172
2020-08-21,183
2020-08-28,180
2020-09-04,181
2020-09-11,180
2020-09-18,179
2020-09-25,183
2020-10-02,189
2020-10-09,193
2020-10-16,205
2020-10-23,211
2020-10-30,221
2020-11-06,226
2020-11-13,236
2020-11-20,231
2020-11-25,241
2020-12-04,246
2020-12-11,258
2020-12-18,263
2020-12-23,264
2020-12-31,267
2021-01-08,275
2021-01-15,287
2021-01-22,289
2021-01-29,295
2021-02-05,299
2021-02-12,306
2021-02-19,305
2021-02-26,309
2021-03-05,310
2021-03-12,309
2021-03-19,318
2021-03-26,324
2021-04-01,337
2021-04-09,337
2021-04-16,344
2021-04-23,343
2021-04-30,342
2021-05-07,344
2021-05-14,352
2021-05-21,356
2021-05-28,359
2021-06-04,359
2021-06-11,365
2021-06-18,373
2021-06-25,372
2021-07-02,376
2021-07-09,378
2021-07-16,380
2021-07-23,387
2021-07-30,385
2021-08-06,387
2021-08-13,398
2021-08-20,405
2021-08-27,410
2021-09-03,394
2021-09-10,401
2021-09-17,411
2021-09-24,421
2021-10-01,428
2021-10-08,433
2021-10-15,445
2021-10-22,443
2021-10-29,444
2021-11-05,450
2021-11-12,454
2021-11-19,461
2021-11-24,467
2021-12-03,467
2021-12-10,471
2021-12-17,475
2021-12-23,480
2021-12-31,480
2022-01-07,481
2022-01-14,492
2022-01-21,491
2022-01-28,495
2022-02-04,497
2022-02-11,516
2022-02-18,520
2022-02-25,522
2022-03-04,519
2022-03-11,527
2022-03-18,524
2022-03-25,531
2022-04-01,533
2022-04-08,546
2022-04-14,548
2022-04-22,549
2022-04-29,552
2022-05-06,557
2022-05-13,563
2022-05-20,576
2022-05-27,574
2022-06-03,574
2022-06-10,580
2022-06-17,584
2022-06-24,594
2022-07-01,595
2022-07-08,597
2022-07-15,599
2022-07-22,599
2022-07-29,605
2022-08-05,598
2022-08-12,601
2022-08-19,601
2022-08-26,605
2022-09-02,596
2022-09-09,591
2022-09-16,599
2022-09-23,602
2022-09-30,604
2022-10-07,602
2022-10-14,610
2022-10-21,612
2022-10-28,610
2022-11-04,613
2022-11-10,622
2022-11-18,623
2022-11-23,627
2022-12-02,627
2022-12-09,625
2022-12-16,620
2022-12-22,622
2022-12-30,621
2023-01-06,618
2023-01-13,623
2023-01-20,613
2023-01-27,609
2023-02-03,599
2023-02-10,609
2023-02-17,607
2023-02-24,600
2023-03-03,592
2023-03-10,590
2023-03-17,589
2023-03-24,593
2023-03-31,592
2023-04-06,590
2023-04-14,588
2023-04-21,591
2023-04-28,591
2023-05-05,588
2023-05-12,586
2023-05-19,575
2023-05-26,570
2023-06-02,555
2023-06-09,556
2023-06-16,552
2023-06-23,546
2023-06-30,545
2023-07-07,540
2023-07-14,537
2023-07-21,530
2023-07-28,529
2023-08-04,525
2023-08-11,525
2023-08-18,520
2023-08-25,512
2023-09-01,512
2023-09-08,513
2023-09-15,515
2023-09-22,507
2023-09-29,502
2023-10-06,497
2023-10-13,501
2023-10-20,502
2023-10-27,504
2023-11-03,496
2023-11-10,494
2023-11-17,500
2023-11-22,500
2023-12-01,505
2023-12-08,503
2023-12-15,501
2023-12-21,498
2023-12-29,500
2024-01-05,501
2024-01-12,499
2024-01-19,497
2024-01-26,499
2024-02-02,499
2024-02-09,499
2024-02-16,497
2024-02-23,503
2024-03-01,506
2024-03-08,504
2024-03-15,510
2024-03-22,509
2024-03-28,506
2024-04-05,508
2024-04-12,506
2024-04-19,511
2024-04-26,506
2024-05-03,499
2024-05-10,496
2024-05-17,497
2024-05-24,497
2024-05-31,496
2024-06-07,492
2024-06-14,488
2024-06-21,485
2024-06-28,479
2024-07-05,479
2024-07-12,478
2024-07-19,477
2024-07-26,482
2024-08-02,482
2024-08-09,485
2024-08-16,483
2024-08-23,483
2024-08-30,483
2024-09-06,483
2024-09-13,488
2024-09-20,488
2024-09-27,484
2024-10-04,479
2024-10-11,481
2024-10-18,482
2024-10-25,480
2024-11-01,479
2024-11-08,479
2024-11-15,478
2024-11-22,479
2024-11-27,477
2024-12-06,482
2024-12-13,482
2024-12-20,483
2024-12-27,483
2025-01-03,482
2025-01-10,480
2025-01-17,478
2025-01-24,472
2025-01-31,479
2025-02-07,480
2025-02-14,481
2025-02-21,488
2025-02-28,486
2025-03-07,486
2025-03-14,487
2025-03-21,486
2025-03-28,484
2025-04-04,481
2025-04-11,472
2025-04-17,473
2025-04-25,475
2025-05-02,472
2025-05-09,467
2025-05-16,465
2025-05-23,455
2025-05-30,451
2025-06-06,442
2025-06-13,439
2025-06-20,438
2025-06-27,432
2025-07-03,425
2025-07-11,424
2025-07-18,422
2025-07-25,415
2025-08-01,410
2025-08-08,411
2025-08-15,412
2025-08-22,411
2025-08-29,412
